Income Type,Ward,CAD
  Average Total Income,Ward 1,95200.0000
  Average Total Income,Ward 2,146600.0000
  Average Total Income,Ward 3,127200.0000
  Average Total Income,Ward 4,127200.0000
  Average Total Income,Ward 5,88700.0000
  Average Total Income,Ward 6,107500.0000
  Average Total Income,Ward 7,85700.0000
  Average Total Income,Ward 8,176400.0000
  Average Total Income,Ward 9,107300.0000
  Average Total Income,Ward 10,118200.0000
  Average Total Income,Ward 11,174800.0000
  Average Total Income,Ward 12,160400.0000
  Average Total Income,Ward 13,89400.0000
  Average Total Income,Ward 14,130800.0000
  Average Total Income,Ward 15,224800.0000
  Average Total Income,Ward 16,100300.0000
  Average Total Income,Ward 17,103800.0000
  Average Total Income,Ward 18,106300.0000
  Average Total Income,Ward 19,130600.0000
  Average Total Income,Ward 20,102200.0000
  Average Total Income,Ward 21,91500.0000
  Average Total Income,Ward 22,93000.0000
  Average Total Income,Ward 23,100000.0000
  Average Total Income,Ward 24,92700.0000
  Average Total Income,Ward 25,121800.0000
  Median Total Income,Ward 1,81000.0000
  Median Total Income,Ward 2,100000.0000
  Median Total Income,Ward 3,90000.0000
  Median Total Income,Ward 4,85000.0000
  Median Total Income,Ward 5,72000.0000
  Median Total Income,Ward 6,82000.0000
  Median Total Income,Ward 7,73000.0000
  Median Total Income,Ward 8,97000.0000
  Median Total Income,Ward 9,85000.0000
  Median Total Income,Ward 10,89000.0000
  Median Total Income,Ward 11,84000.0000
  Median Total Income,Ward 12,86000.0000
  Median Total Income,Ward 13,65000.0000
  Median Total Income,Ward 14,93000.0000
  Median Total Income,Ward 15,102000.0000
  Median Total Income,Ward 16,78500.0000
  Median Total Income,Ward 17,84000.0000
  Median Total Income,Ward 18,81000.0000
  Median Total Income,Ward 19,89000.0000
  Median Total Income,Ward 20,79000.0000
  Median Total Income,Ward 21,78000.0000
  Median Total Income,Ward 22,77000.0000
  Median Total Income,Ward 23,87000.0000
  Median Total Income,Ward 24,78000.0000
  Median Total Income,Ward 25,105000.0000
